data,umidade,temperatura
2020-11-28 14:31:53.252226,794,26.1
2020-11-28 14:31:55.283962,795,26.1
2020-11-28 14:31:57.315276,794,26.1
2020-11-28 14:31:59.346685,794,26.2
2020-11-28 14:32:01.379183,795,26.3
2020-11-28 14:32:03.411090,795,26.2
2020-11-28 14:32:05.441315,795,26.3
2020-11-28 14:32:07.475960,795,26.3
2020-11-28 14:32:09.504312,795,26.3
2020-11-28 14:32:11.535715,795,26.3
2020-11-28 14:32:13.563286,795,26.3
2020-11-28 14:32:15.594725,795,26.3
2020-11-28 14:32:17.626539,796,26.3
2020-11-28 14:32:19.657855,796,26.3
2020-11-28 14:32:21.689229,795,26.4
2020-11-28 14:32:23.721001,795,26.3
2020-11-28 14:32:25.752733,796,26.4
2020-11-28 14:32:27.783875,795,26.4
2020-11-28 14:32:29.816010,796,26.4
2020-11-28 14:32:31.847056,796,26.4
2020-11-28 14:32:33.878414,797,26.4
2020-11-28 14:32:35.909970,796,26.4
2020-11-28 14:32:37.941510,796,26.3
2020-11-28 14:32:39.973148,796,26.4
2020-11-28 14:32:42.004725,796,26.4
2020-11-28 14:32:44.036214,796,26.4
2020-11-28 14:32:46.067620,796,26.4
2020-11-28 14:32:48.099141,796,26.4
2020-11-28 14:32:50.130588,796,26.4
2020-11-28 14:32:52.162297,796,26.4
2020-11-28 14:32:54.193611,796,26.4
2020-11-28 14:32:56.225142,796,26.4
2020-11-28 14:32:58.256718,796,26.4
2020-11-28 14:33:00.288209,796,26.4
2020-11-28 14:33:02.319800,796,26.4
2020-11-28 14:33:04.351592,796,26.4
2020-11-28 14:33:06.382840,796,26.4
2020-11-28 14:33:08.414573,796,26.4
2020-11-28 14:33:10.445860,797,26.4
2020-11-28 14:33:12.477321,797,26.4
2020-11-28 14:33:14.508999,796,26.4
2020-11-28 14:33:16.540446,797,26.4
2020-11-28 14:33:18.571857,797,26.4
2020-11-28 14:33:20.603680,797,26.4
2020-11-28 14:33:22.635026,797,26.4
2020-11-28 14:33:24.666982,796,26.4
2020-11-28 14:33:26.698145,797,26.4
